t, elevL, elevR, throttle
0,0.11192,0.11192,5.3397
0.01,0.11242,0.11659,5.3397
0.02,0.11291,0.12127,5.3397
0.03,0.11341,0.12594,5.3397
0.04,0.1139,0.13061,5.3397
0.05,0.1144,0.13528,5.3397
0.06,0.11489,0.13995,5.3397
0.07,0.11539,0.14462,5.3397
0.08,0.11588,0.14929,5.3397
0.09,0.11638,0.15396,5.3397
0.1,0.11688,0.15864,5.3397
0.11,0.11737,0.16331,5.3397
0.12,0.11787,0.16798,5.3397
0.13,0.11836,0.17265,5.3397
0.14,0.11886,0.17732,5.3397
0.15,0.11935,0.18199,5.3398
0.16,0.11985,0.18666,5.3398
0.17,0.12032,0.19063,5.3398
0.18,0.12067,0.1899,5.3398
0.19,0.12102,0.18917,5.3398
0.2,0.12137,0.18844,5.3398
0.21,0.12172,0.18771,5.3398
0.22,0.12207,0.18698,5.3398
0.23,0.12242,0.18625,5.3398
0.24,0.12277,0.18552,5.3398
0.25,0.12312,0.18479,5.3398
0.26,0.12347,0.18407,5.3398
0.27,0.12381,0.18334,5.3398
0.28,0.12416,0.18261,5.3398
0.29,0.12451,0.18188,5.3398
0.3,0.12486,0.18115,5.3398
0.31,0.12521,0.18042,5.3398
0.32,0.12556,0.17969,5.3398
0.33,0.12591,0.17896,5.3398
0.34,0.12629,0.17823,5.3398
0.35,0.12676,0.17747,5.3398
0.36,0.12722,0.17672,5.3398
0.37,0.12769,0.17597,5.3398
0.38,0.12815,0.17521,5.3398
0.39,0.12862,0.17446,5.3398
0.4,0.12908,0.17371,5.3398
0.41,0.12955,0.17295,5.3398
0.42,0.13002,0.1722,5.3398
0.43,0.13048,0.17144,5.3398
0.44,0.13095,0.17069,5.3398
0.45,0.13141,0.16994,5.3398
0.46,0.13188,0.16918,5.3398
0.47,0.13235,0.16843,5.3398
0.48,0.13281,0.16768,5.3398
0.49,0.13328,0.16692,5.3398
0.5,0.13374,0.16617,5.3398
0.51,0.13418,0.1654,5.3398
0.52,0.13457,0.1646,5.3398
0.53,0.13497,0.1638,5.3398
0.54,0.13536,0.163,5.3398
0.55,0.13575,0.16219,5.3398
0.56,0.13615,0.16139,5.3398
0.57,0.13654,0.16059,5.3398
0.58,0.13693,0.15979,5.3398
0.59,0.13733,0.15899,5.3398
0.6,0.13772,0.15819,5.3398
0.61,0.13811,0.15739,5.3398
0.62,0.1385,0.15659,5.3398
0.63,0.1389,0.15579,5.3398
0.64,0.13929,0.15498,5.3398
0.65,0.13968,0.15418,5.3398
0.66,0.14008,0.15338,5.3398
0.67,0.14047,0.15258,5.3398
0.68,0.1407,0.15195,5.3398
0.69,0.14077,0.15148,5.3398
0.7,0.14084,0.15101,5.3398
0.71,0.14091,0.15054,5.3398
0.72,0.14099,0.15007,5.3398
0.73,0.14106,0.1496,5.3398
0.74,0.14113,0.14913,5.3398
0.75,0.1412,0.14866,5.3398
0.76,0.14128,0.14819,5.3398
