t, affine_elevL, affine_elevR, affine_throttle
0,-0.00021093,1.1967e-05,-0.00010574
0.01,-0.00021518,1.0795e-05,-0.00010571
0.02,-0.00022246,1.0513e-05,-0.00010569
0.03,-0.00023083,1.1637e-05,-0.00010567
0.04,-0.00023882,1.4467e-05,-0.00010565
0.05,-0.00024519,1.9181e-05,-0.00010564
0.06,-0.00024881,2.5919e-05,-0.00010563
0.07,-0.0002491,3.4605e-05,-0.00010561
0.08,-0.00024581,4.5067e-05,-0.00010559
0.09,-0.00023875,5.7117e-05,-0.00010556
0.1,-0.00022817,7.0461e-05,-0.00010551
0.11,-0.00021468,8.4762e-05,-0.00010545
0.12,-0.00019891,9.9684e-05,-0.00010539
0.13,-0.00018179,0.00011492,-0.00010531
0.14,-0.00016437,0.00013027,-0.00010524
0.15,-0.00014782,0.00014547,-0.00010518
0.16,-0.00013364,0.00016031,-0.00010517
0.17,-0.00012129,0.00017625,-0.00010515
0.18,-0.0001099,0.00019506,-0.00010509
0.19,-9.8934e-05,0.00021755,-0.00010494
0.2,-8.9086e-05,0.00024145,-0.00010474
0.21,-8.0885e-05,0.00026492,-0.00010453
0.22,-7.4814e-05,0.00028617,-0.00010433
0.23,-7.0943e-05,0.00030397,-0.00010418
0.24,-6.908e-05,0.00031767,-0.00010407
0.25,-6.903e-05,0.00032665,-0.00010403
0.26,-7.0423e-05,0.00033078,-0.00010406
0.27,-7.2807e-05,0.00033067,-0.00010416
0.28,-7.574e-05,0.00032697,-0.00010431
0.29,-7.8761e-05,0.00032052,-0.00010451
0.3,-8.1618e-05,0.0003128,-0.00010473
0.31,-8.4234e-05,0.0003054,-0.00010495
0.32,-8.6554e-05,0.00029997,-0.00010514
0.33,-8.899e-05,0.00029825,-0.00010527
0.34,-9.2263e-05,0.00030135,-0.00010529
0.35,-9.6539e-05,0.00030509,-0.00010527
0.36,-0.00010143,0.00030739,-0.00010527
0.37,-0.00010655,0.00030907,-0.00010526
0.38,-0.00011163,0.00031067,-0.00010525
0.39,-0.00011647,0.00031264,-0.00010524
0.4,-0.00012088,0.00031541,-0.00010522
0.41,-0.00012468,0.00031932,-0.00010518
0.42,-0.00012789,0.00032446,-0.00010514
0.43,-0.00013051,0.00033082,-0.00010508
0.44,-0.00013258,0.0003384,-0.00010502
0.45,-0.00013417,0.00034706,-0.00010495
0.46,-0.00013547,0.00035645,-0.00010486
0.47,-0.00013662,0.00036618,-0.00010478
0.48,-0.00013781,0.00037586,-0.00010469
0.49,-0.00013922,0.00038492,-0.00010461
0.5,-0.00014099,0.00039276,-0.00010453
0.51,-0.00014312,0.00039923,-0.00010447
0.52,-0.00014524,0.00040522,-0.0001044
0.53,-0.00014718,0.00041114,-0.00010433
0.54,-0.00014887,0.00041717,-0.00010426
0.55,-0.0001504,0.00042304,-0.00010419
0.56,-0.0001518,0.00042863,-0.00010412
0.57,-0.00015309,0.00043386,-0.00010405
0.58,-0.00015428,0.00043867,-0.00010398
0.59,-0.00015538,0.00044301,-0.00010392
0.6,-0.00015637,0.00044686,-0.00010385
0.61,-0.00015726,0.0004502,-0.00010378
0.62,-0.00015801,0.00045307,-0.00010372
