t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.016031,-0.012403,0.0031639,0.30059,0.18194,-0.047336,0.014684,-0.024687,-0.016509,0.025186,0.015516,-0.035169,-0.0059686,0.0087904,-0.012458,-0.27197,0.15753,0.043056,-0.017306,0.020789,-0.018819,-0.022993,0.013794,0.032508,-0.0027918,0.001024,-0.0022358,-0.0046054,0.0012236,0.0014548,-0.004481,0.0012671,-0.0010074,-0.00031037,0.00012591,0.00079897
0.01,0.016202,-0.012527,0.0032537,0.30186,0.18226,-0.047295,0.014928,-0.024854,-0.016551,0.025295,0.015536,-0.035168,-0.0058581,0.0088155,-0.012373,-0.27286,0.15733,0.043173,-0.017262,0.020876,-0.018753,-0.023085,0.013791,0.0325,-0.0027981,0.0010302,-0.0022412,-0.0046308,0.0012224,0.0014813,-0.0044927,0.0012695,-0.0010097,-0.00031256,0.0001234,0.00079928
0.02,0.016389,-0.012656,0.0033545,0.30305,0.18263,-0.047155,0.015195,-0.025034,-0.016588,0.025407,0.015558,-0.035176,-0.0057377,0.0088407,-0.012279,-0.27371,0.15709,0.043202,-0.017191,0.020974,-0.018683,-0.023183,0.013789,0.032502,-0.0028046,0.0010364,-0.0022467,-0.0046528,0.0012133,0.0015061,-0.0045044,0.0012719,-0.001012,-0.00031467,0.00012043,0.00079926
0.03,0.01659,-0.012791,0.0034658,0.30417,0.18302,-0.046912,0.015483,-0.025225,-0.016621,0.025522,0.01558,-0.035191,-0.0056074,0.0088659,-0.012176,-0.27453,0.15681,0.043141,-0.017092,0.021085,-0.018609,-0.023287,0.013784,0.032515,-0.0028112,0.0010427,-0.0022521,-0.0046718,0.0011958,0.001529,-0.0045159,0.0012744,-0.0010145,-0.00031668,0.00011701,0.00079891
0.04,0.016804,-0.012932,0.0035869,0.30524,0.18346,-0.046567,0.015791,-0.025428,-0.01665,0.025638,0.015606,-0.035216,-0.0054675,0.0088908,-0.012065,-0.27531,0.15651,0.042988,-0.016965,0.021206,-0.01853,-0.023394,0.013778,0.032537,-0.0028178,0.001049,-0.0022575,-0.0046879,0.0011697,0.0015498,-0.0045274,0.001277,-0.0010172,-0.00031857,0.00011314,0.00079826
0.05,0.017031,-0.013077,0.0037168,0.30627,0.18395,-0.046118,0.016117,-0.025642,-0.016677,0.025756,0.015637,-0.035251,-0.0053187,0.0089152,-0.011946,-0.27607,0.15619,0.042746,-0.016812,0.021338,-0.018447,-0.023505,0.01377,0.032568,-0.0028246,0.0010553,-0.0022629,-0.0047013,0.0011349,0.0015686,-0.0045388,0.0012797,-0.00102,-0.00032032,0.00010884,0.00079733
0.06,0.017268,-0.013227,0.0038547,0.30727,0.18446,-0.045566,0.016459,-0.025866,-0.016699,0.025874,0.01567,-0.035296,-0.0051614,0.008939,-0.011819,-0.2768,0.15584,0.042414,-0.016632,0.021478,-0.018359,-0.023618,0.013759,0.032607,-0.0028315,0.0010618,-0.0022682,-0.0047124,0.0010912,0.0015851,-0.0045502,0.0012825,-0.0010232,-0.00032191,0.00010413,0.00079614
0.07,0.017514,-0.013381,0.0039991,0.30824,0.185,-0.044913,0.016815,-0.0261,-0.016719,0.025992,0.015708,-0.035352,-0.0049966,0.0089621,-0.011686,-0.27751,0.15547,0.041994,-0.016427,0.021628,-0.018268,-0.023731,0.013743,0.032654,-0.0028385,0.0010683,-0.0022736,-0.0047211,0.0010387,0.0015995,-0.0045616,0.0012855,-0.0010265,-0.00032332,9.9032e-05,0.00079469
0.08,0.017768,-0.013537,0.0041486,0.3092,0.1856,-0.044163,0.017181,-0.026342,-0.016737,0.026109,0.015754,-0.035418,-0.0048257,0.0089846,-0.011547,-0.2782,0.15509,0.041493,-0.016199,0.021785,-0.018173,-0.023843,0.013725,0.032708,-0.0028457,0.0010748,-0.0022789,-0.0047276,0.00097731,0.0016115,-0.0045729,0.0012886,-0.0010302,-0.00032453,9.3587e-05,0.00079301
0.09,0.018027,-0.013696,0.0043017,0.31015,0.18623,-0.043318,0.017553,-0.026592,-0.016752,0.026224,0.015805,-0.035496,-0.0046498,0.0090065,-0.011403,-0.27887,0.15469,0.040915,-0.015948,0.021949,-0.018076,-0.023954,0.013702,0.032768,-0.002853,0.0010814,-0.0022843,-0.004732,0.00090737,0.0016213,-0.0045842,0.0012919,-0.0010342,-0.00032553,8.783e-05,0.00079111
0.1,0.018289,-0.013857,0.0044566,0.31108,0.18689,-0.042385,0.01793,-0.026848,-0.016765,0.026337,0.015863,-0.035584,-0.0044704,0.0090279,-0.011256,-0.27951,0.15427,0.040264,-0.015677,0.022119,-0.017977,-0.024061,0.013672,0.032833,-0.0028605,0.0010881,-0.0022896,-0.0047344,0.00082918,0.0016289,-0.0045955,0.0012953,-0.0010385,-0.00032629,8.1805e-05,0.000789
