t, affine_elevL, affine_elevR, affine_throttle
0,-6.0168e-05,-2.2309e-05,-3.1804e-06
0.01,-6.4071e-05,-5.4179e-05,-3.6638e-06
0.02,-5.7428e-05,-0.00010935,-4.5009e-06
0.03,-4.4383e-05,-0.00015651,-5.1784e-06
0.04,-3.0372e-05,-0.00018171,-5.5364e-06
0.05,-2.1166e-05,-0.0001723,-5.4381e-06
0.06,-2.0296e-05,-0.00012993,-4.9746e-06
0.07,-2.5229e-05,-7.3996e-05,-4.4224e-06
0.08,-2.8234e-05,-3.3735e-05,-4.095e-06
0.09,-2.5171e-05,-7.6518e-06,-4.3888e-06
0.1,-1.8982e-05,2.8399e-05,-5.5433e-06
0.11,-1.2349e-05,6.7082e-05,-6.9001e-06
0.12,-7.2836e-06,9.3257e-05,-7.8469e-06
0.13,-6.5581e-06,9.8176e-05,-7.9984e-06
0.14,-1.0772e-05,8.5898e-05,-7.4606e-06
0.15,-1.9443e-05,6.3941e-05,-6.526e-06
0.16,-2.7845e-05,4.7905e-05,-5.9241e-06
0.17,-2.756e-05,3.7757e-05,-5.3407e-06
0.18,-1.1131e-05,2.9598e-05,-4.2709e-06
0.19,1.173e-05,1.6494e-05,-2.74e-06
0.2,3.1747e-05,2.9543e-06,-1.4057e-06
0.21,4.0176e-05,-5.9807e-06,-9.2836e-07
0.22,3.5851e-05,-7.8086e-06,-1.4288e-06
0.23,2.2541e-05,-3.3364e-06,-2.6399e-06
0.24,9.87e-06,2.8313e-06,-3.9075e-06
0.25,3.1848e-06,4.9918e-06,-4.6669e-06
0.26,-3.2169e-07,9.718e-07,-4.8089e-06
0.27,-4.0376e-06,-8.2487e-06,-4.4915e-06
0.28,-8.7213e-06,-1.7804e-05,-4.1549e-06
0.29,-1.2395e-05,-2.5994e-05,-3.9422e-06
0.3,-1.3393e-05,-3.1682e-05,-3.956e-06
0.31,-1.1998e-05,-3.5552e-05,-4.1527e-06
0.32,-9.183e-06,-3.8706e-05,-4.4515e-06
0.33,-6.8526e-06,-4.3664e-05,-4.6579e-06
0.34,-9.4229e-06,-5.0144e-05,-4.727e-06
0.35,-2.0334e-05,-5.5716e-05,-4.7765e-06
0.36,-3.4243e-05,-6.0128e-05,-4.8403e-06
0.37,-4.5702e-05,-6.4474e-05,-4.876e-06
0.38,-5.0958e-05,-6.9636e-05,-4.8516e-06
0.39,-5.0526e-05,-7.5744e-05,-4.7733e-06
0.4,-4.584e-05,-8.2778e-05,-4.654e-06
0.41,-4.2168e-05,-9.0058e-05,-4.5314e-06
0.42,-4.3133e-05,-9.7051e-05,-4.463e-06
0.43,-4.9843e-05,-0.0001036,-4.5015e-06
0.44,-6.2219e-05,-0.00010953,-4.6712e-06
0.45,-7.4176e-05,-0.00011456,-4.8285e-06
0.46,-8.2957e-05,-0.00011838,-4.8845e-06
0.47,-8.6532e-05,-0.00012063,-4.7654e-06
0.48,-8.4103e-05,-0.000121,-4.4312e-06
0.49,-7.9402e-05,-0.00012031,-4.01e-06
0.5,-7.7177e-05,-0.00011979,-3.6783e-06
0.51,-8.0999e-05,-0.00012091,-3.5722e-06
0.52,-8.6992e-05,-0.000125,-3.5524e-06
0.53,-9.3499e-05,-0.00012972,-3.5496e-06
0.54,-9.9479e-05,-0.00013225,-3.5213e-06
0.55,-0.00010371,-0.00013004,-3.4232e-06
0.56,-0.00010581,-0.00012336,-3.2488e-06
0.57,-0.00010616,-0.00011351,-3.026e-06
0.58,-0.00010545,-0.00010218,-2.7926e-06
0.59,-0.00010535,-9.3184e-05,-2.6302e-06
0.6,-9.776e-05,-8.3316e-05,-2.2326e-06
0.61,-8.4777e-05,-7.0355e-05,-1.6646e-06
0.62,-7.4399e-05,-5.7254e-05,-1.2164e-06
0.63,-7.1085e-05,-4.6804e-05,-1.0399e-06
0.64,-7.4223e-05,-3.9782e-05,-1.1063e-06
0.65,-8.2936e-05,-3.6934e-05,-1.3683e-06
0.66,-9.3081e-05,-3.6321e-05,-1.679e-06
0.67,-9.7432e-05,-3.1081e-05,-1.83e-06
0.68,-8.6686e-05,-1.2337e-06,-1.6755e-06
0.69,-6.3278e-05,5.6702e-05,-1.4022e-06
0.7,-3.7042e-05,0.00012422,-1.2508e-06
0.71,-1.7944e-05,0.00017118,-1.2746e-06
0.72,-1.1917e-05,0.00017996,-1.4067e-06
0.73,-1.7636e-05,0.0001518,-1.5034e-06
0.74,-2.9383e-05,0.00010135,-1.4529e-06
0.75,-3.7303e-05,5.6014e-05,-1.2396e-06
0.76,-3.2749e-05,5.6556e-05,-1.1763e-06
0.77,-9.4199e-06,0.0001236,-1.5466e-06
0.78,2.0841e-05,0.00021206,-2.1971e-06
0.79,4.405e-05,0.00027711,-2.8482e-06
0.8,5.4955e-05,0.00029814,-3.2279e-06
0.81,5.3941e-05,0.00027199,-3.1382e-06
0.82,4.5065e-05,0.00021016,-2.5408e-06
0.83,3.4999e-05,0.00014272,-1.7379e-06
0.84,3.4855e-05,0.00011132,-1.2743e-06
0.85,4.8155e-05,0.00011778,-1.2585e-06
0.86,6.7815e-05,0.00013721,-1.4895e-06
0.87,8.1894e-05,0.00015187,-1.8288e-06
0.88,8.555e-05,0.00015483,-2.1452e-06
0.89,7.8141e-05,0.00014311,-2.2703e-06
0.9,6.5086e-05,0.00012209,-2.1533e-06
0.91,5.2214e-05,9.8495e-05,-1.8213e-06
0.92,4.4243e-05,8.0518e-05,-1.4808e-06
0.93,4.2611e-05,7.0859e-05,-1.3985e-06
0.94,4.3993e-05,5.4175e-05,-1.2542e-06
0.95,4.1726e-05,3.4853e-05,-1.1848e-06
0.96,3.4661e-05,1.7965e-05,-1.2418e-06
0.97,2.539e-05,7.7448e-06,-1.3738e-06
0.98,1.7284e-05,4.7601e-06,-1.488e-06
0.99,1.2624e-05,7.7849e-06,-1.5442e-06
1,1.0505e-05,1.1563e-05,-1.619e-06
1.01,8.0892e-06,1.095e-05,-1.549e-06
1.02,-4.0918e-06,-3.37e-06,-1.206e-06
1.03,-2.3646e-05,-2.3336e-05,-7.8401e-07
1.04,-4.6054e-05,-4.2417e-05,-5.0343e-07
1.05,-6.2609e-05,-5.3237e-05,-4.8989e-07
1.06,-6.367e-05,-4.9645e-05,-7.5596e-07
1.07,-5.1438e-05,-3.6321e-05,-1.1316e-06
1.08,-3.2271e-05,-1.9499e-05,-1.4768e-06
1.09,-1.9862e-05,-8.5895e-06,-1.6749e-06
1.1,-3.6241e-05,-1.5732e-05,-1.5374e-06
1.11,-8.058e-05,-3.8005e-05,-1.1018e-06
1.12,-0.00012413,-5.7415e-05,-7.892e-07
1.13,-0.00015259,-6.7839e-05,-7.1964e-07
1.14,-0.00015269,-6.3469e-05,-9.1454e-07
1.15,-0.00012348,-4.5001e-05,-1.2919e-06
1.16,-7.8532e-05,-1.9827e-05,-1.7153e-06
1.17,-3.9675e-05,1.8045e-06,-2.0464e-06
1.18,-3.5173e-05,7.2973e-06,-2.1281e-06
1.19,-6.2521e-05,-2.8285e-06,-1.9841e-06
1.2,-9.1896e-05,-1.5837e-05,-1.7788e-06
1.21,-0.00010111,-2.1715e-05,-1.6327e-06
1.22,-8.9341e-05,-2.0142e-05,-1.6172e-06
1.23,-6.2267e-05,-1.2383e-05,-1.7924e-06
1.24,-3.2304e-05,-2.018e-06,-2.1473e-06
1.25,-1.2382e-05,5.6602e-06,-2.5904e-06
1.26,-4.1725e-06,8.9839e-06,-2.8444e-06
1.27,5.4782e-06,1.4811e-05,-2.8878e-06
1.28,2.2465e-05,2.8101e-05,-2.9766e-06
1.29,3.6952e-05,4.0929e-05,-3.0872e-06
1.3,4.432e-05,4.7879e-05,-3.1269e-06
1.31,4.4788e-05,4.7363e-05,-3.0227e-06
1.32,3.9084e-05,3.8249e-05,-2.7078e-06
1.33,3.0808e-05,2.363e-05,-2.2286e-06
1.34,2.5103e-05,1.1177e-05,-1.8194e-06
1.35,2.2656e-05,7.4995e-06,-1.8816e-06
1.36,1.4732e-05,7.3102e-06,-2.5543e-06
1.37,4.9651e-06,7.7144e-06,-3.3442e-06
1.38,-2.2173e-06,7.8368e-06,-3.8533e-06
1.39,-5.4854e-06,7.3327e-06,-3.9397e-06
1.4,-3.7185e-06,5.9781e-06,-3.4846e-06
1.41,1.6655e-06,3.9333e-06,-2.6133e-06
1.42,6.7925e-06,1.6549e-06,-1.741e-06
1.43,6.8261e-06,-1.6668e-06,-1.3876e-06
1.44,1.5939e-06,-1.0569e-05,-1.4492e-06
1.45,-5.5493e-06,-2.4119e-05,-1.6286e-06
1.46,-1.1817e-05,-3.6189e-05,-1.782e-06
1.47,-1.611e-05,-4.2062e-05,-1.8373e-06
1.48,-1.886e-05,-4.0934e-05,-1.797e-06
1.49,-2.0749e-05,-3.3253e-05,-1.6842e-06
1.5,-2.2566e-05,-2.2774e-05,-1.6059e-06
1.51,-2.5429e-05,-1.6249e-05,-1.5308e-06
1.52,-2.965e-05,-1.9758e-05,-1.3787e-06
1.53,-3.4571e-05,-3.3406e-05,-1.1158e-06
1.54,-3.9173e-05,-4.793e-05,-8.4249e-07
1.55,-4.3099e-05,-5.7463e-05,-6.7898e-07
1.56,-4.6506e-05,-5.7935e-05,-7.0881e-07
1.57,-4.9729e-05,-5.0755e-05,-8.976e-07
1.58,-5.2909e-05,-3.8545e-05,-1.1842e-06
1.59,-5.5772e-05,-2.8666e-05,-1.4016e-06
1.6,-5.7094e-05,-2.5337e-05,-1.4003e-06
1.61,-5.4697e-05,-2.9379e-05,-1.0811e-06
1.62,-5.0316e-05,-3.6644e-05,-6.29e-07
1.63,-4.6606e-05,-4.2303e-05,-2.7978e-07
1.64,-4.5454e-05,-4.3898e-05,-1.5986e-07
1.65,-4.8275e-05,-4.0074e-05,-3.3654e-07
1.66,-5.3291e-05,-3.2302e-05,-6.9452e-07
1.67,-5.8466e-05,-2.3277e-05,-1.0831e-06
1.68,-6.0555e-05,-1.7489e-05,-1.2797e-06
1.69,-5.3644e-05,-1.6563e-05,-1.1006e-06
1.7,-4.0296e-05,-1.7631e-05,-7.2624e-07
1.71,-2.6995e-05,-1.855e-05,-3.8304e-07
1.72,-2.0276e-05,-1.8572e-05,-2.3989e-07
1.73,-2.0117e-05,-1.7017e-05,-2.9332e-07
1.74,-2.484e-05,-1.4026e-05,-4.8748e-07
1.75,-3.0842e-05,-1.0098e-05,-7.2457e-07
1.76,-3.3627e-05,-7.0792e-06,-8.7147e-07
1.77,-3.1294e-05,-4.8121e-06,-8.933e-07
1.78,-2.2509e-05,-2.6064e-06,-7.8066e-07
