t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,-0.00019447,-0.030715,-0.036372,0.46036,0.37761,-0.16392,-0.040358,-0.042091,-0.037713,0.039127,0.031699,-0.060672,0.0032329,0.031781,-0.02865,-0.47144,0.41579,0.17012,-0.0039784,0.04011,-0.037879,-0.039479,0.031326,0.05151,-0.018395,-0.00087144,-0.01273,0.0056248,0.014385,0.00091572,-0.025719,-0.002101,-0.0064848,0.00034175,0.00090562,-0.00098889
0.01,0.0021679,-0.031533,-0.035192,0.46686,0.38124,-0.1667,-0.038584,-0.042967,-0.037003,0.039815,0.032011,-0.061023,0.0053988,0.031875,-0.027563,-0.47292,0.41377,0.16937,-0.0012165,0.040112,-0.037614,-0.039608,0.031174,0.050726,-0.018386,-0.00089356,-0.012761,0.0057089,0.014343,0.00090196,-0.02574,-0.0021311,-0.0065553,0.00034958,0.0008686,-0.001038
0.02,0.0047466,-0.032331,-0.033772,0.47153,0.38366,-0.16886,-0.036259,-0.043823,-0.036107,0.040434,0.032218,-0.06128,0.0077931,0.031949,-0.026298,-0.47354,0.41185,0.16766,0.0018505,0.040148,-0.03721,-0.039727,0.03102,0.05,-0.018376,-0.00091489,-0.012788,0.0057532,0.014111,0.00087703,-0.025755,-0.0021587,-0.0066283,0.00035622,0.00082468,-0.0010851
0.03,0.0074657,-0.033064,-0.032127,0.47397,0.38442,-0.1702,-0.033418,-0.044598,-0.035028,0.040929,0.032276,-0.061362,0.010374,0.032003,-0.024875,-0.47343,0.41002,0.16498,0.0051741,0.040219,-0.036671,-0.039831,0.030875,0.049354,-0.018366,-0.00093521,-0.012811,0.0057547,0.013679,0.00084233,-0.025764,-0.0021834,-0.0067044,0.00036121,0.00077434,-0.0011299
0.04,0.01023,-0.033686,-0.030288,0.4738,0.38313,-0.17057,-0.030126,-0.045231,-0.033782,0.041247,0.032151,-0.061202,0.013092,0.032037,-0.023323,-0.47267,0.40848,0.16136,0.0086873,0.040323,-0.036007,-0.039918,0.030754,0.048801,-0.018357,-0.00095429,-0.01283,0.0057111,0.013049,0.00079905,-0.025767,-0.0022051,-0.0067842,0.00036415,0.00071837,-0.0011715
0.05,0.012941,-0.03415,-0.028286,0.47071,0.37921,-0.16977,-0.026459,-0.045666,-0.032386,0.041333,0.031797,-0.060736,0.015895,0.032051,-0.021672,-0.47131,0.40723,0.15683,0.012323,0.040455,-0.035227,-0.039981,0.030663,0.048356,-0.018351,-0.00097189,-0.012846,0.0056207,0.01222,0.00074835,-0.025767,-0.0022237,-0.0068685,0.00036461,0.00065757,-0.0012097
0.06,0.015511,-0.034457,-0.026198,0.46502,0.37258,-0.16789,-0.022549,-0.045909,-0.030912,0.041191,0.031221,-0.06,0.01873,0.032041,-0.019958,-0.46937,0.40641,0.15145,0.016001,0.040605,-0.034344,-0.040017,0.03061,0.048025,-0.018347,-0.00098777,-0.012859,0.0054827,0.011203,0.00069104,-0.025765,-0.0022388,-0.0069576,0.00036227,0.000593,-0.0012438
0.07,0.017914,-0.034709,-0.024175,0.45834,0.36433,-0.16549,-0.018584,-0.046099,-0.029523,0.04094,0.030537,-0.059205,0.021545,0.032002,-0.018223,-0.46679,0.40631,0.14528,0.019633,0.040758,-0.033379,-0.040015,0.030615,0.047795,-0.018347,-0.0010018,-0.01287,0.0052977,0.010023,0.00062738,-0.025762,-0.0022507,-0.0070522,0.00035693,0.00052603,-0.0012735
0.08,0.020158,-0.035006,-0.022339,0.45212,0.35524,-0.16313,-0.014688,-0.046368,-0.028374,0.040692,0.02985,-0.058533,0.024294,0.031927,-0.016507,-0.46345,0.40721,0.1384,0.023133,0.040897,-0.03235,-0.039962,0.03069,0.047656,-0.018353,-0.0010137,-0.012881,0.0050644,0.0087072,0.00055787,-0.025761,-0.0022592,-0.0071522,0.00034837,0.00045793,-0.0012987
0.09,0.022309,-0.035471,-0.020787,0.44835,0.34736,-0.1614,-0.011,-0.046879,-0.027541,0.0406,0.029289,-0.058174,0.026941,0.03181,-0.014848,-0.45966,0.409,0.13093,0.026453,0.041008,-0.031297,-0.039862,0.030849,0.047596,-0.018364,-0.0010246,-0.012891,0.0048066,0.0073118,0.00047654,-0.025762,-0.0022659,-0.0072577,0.00033778,0.00039058,-0.0013206
