t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.11192,0,16.111,0,0,0,0,0
0.01,0.16111,1.619e-06,-1.2582e-05,1.7345e-05,-0.11196,1.5105e-06,16.111,1.9136e-05,-0.00014763,0.0011346,-0.0017813,-0.00010798
0.02,0.32223,5.9317e-06,-4.6081e-05,7.7537e-05,-0.11209,3.6407e-06,16.111,6.6678e-05,-0.00051365,0.0044524,-0.0069153,-0.00044379
0.03,0.48335,1.2122e-05,-9.4127e-05,0.00019281,-0.1123,2.7889e-06,16.111,0.00012782,-0.00098301,0.0098242,-0.015087,-0.0010252
0.04,0.64447,1.9373e-05,-0.00015035,0.0003754,-0.11263,-4.6468e-06,16.111,0.00018777,-0.0014406,0.017121,-0.025982,-0.0018701
0.05,0.80559,2.6868e-05,-0.00020837,0.00063753,-0.11307,-2.2268e-05,16.111,0.00023171,-0.0017714,0.026214,-0.039284,-0.0029962
0.06,0.9667,3.3791e-05,-0.00026183,0.00099145,-0.11363,-5.3677e-05,16.111,0.00024485,-0.0018603,0.036973,-0.05468,-0.0044213
0.07,1.1278,3.9326e-05,-0.00030435,0.0014494,-0.11433,-0.00010247,16.11,0.00021239,-0.0015923,0.04927,-0.071853,-0.0061633
0.08,1.2889,4.2657e-05,-0.00032957,0.0020236,-0.11518,-0.00017226,16.11,0.00011952,-0.00085229,0.062976,-0.09049,-0.00824
0.09,1.45,4.2966e-05,-0.0003311,0.0027263,-0.11618,-0.00026664,16.109,-4.8564e-05,0.00047483,0.077961,-0.11028,-0.010669
0.1,1.6111,3.9437e-05,-0.00030259,0.0035696,-0.11734,-0.00038922,16.108,-0.00030666,0.0025041,0.094097,-0.13089,-0.013468
0.11,1.7722,3.1255e-05,-0.00023765,0.004566,-0.11868,-0.00054359,16.107,-0.00066956,0.0053506,0.11125,-0.15203,-0.016656
0.12,1.9332,1.7602e-05,-0.00012992,0.0057275,-0.12021,-0.00073336,16.106,-0.0011521,0.0091294,0.1293,-0.17337,-0.020249
0.13,2.0943,-2.3376e-06,2.6967e-05,0.0070665,-0.12194,-0.00096213,16.104,-0.001769,0.013955,0.14812,-0.1946,-0.024266
0.14,2.2553,-2.9381e-05,0.00023939,0.0085951,-0.12387,-0.0012335,16.102,-0.0025352,0.019944,0.16756,-0.21541,-0.028724
0.15,2.4163,-6.4343e-05,0.00051372,0.010326,-0.12601,-0.0015511,16.1,-0.0034653,0.02721,0.18751,-0.23547,-0.033642
0.16,2.5773,-0.00010804,0.00085632,0.01227,-0.12839,-0.0019185,16.097,-0.0045743,0.035869,0.20784,-0.25447,-0.039036
0.17,2.7382,-0.0001613,0.0012741,0.014441,-0.13099,-0.0023393,16.094,-0.005878,0.046039,0.22839,-0.27208,-0.044921
0.18,2.8991,-0.00022623,0.00181,0.016804,-0.13374,-0.0028215,16.091,-0.0074625,0.058099,0.2475,-0.28611,-0.050975
0.19,3.06,-0.00030698,0.0024961,0.019325,-0.13654,-0.003367,16.087,-0.0093843,0.072142,0.2643,-0.29563,-0.056978
0.2,3.2209,-0.00040774,0.0033425,0.021991,-0.13939,-0.0039738,16.082,-0.011655,0.088038,0.27894,-0.30101,-0.06291
0.21,3.3816,-0.00053274,0.0043595,0.024791,-0.14226,-0.00464,16.077,-0.014286,0.10566,0.29154,-0.30266,-0.068751
0.22,3.5424,-0.00068619,0.0055576,0.02771,-0.14514,-0.0053636,16.071,-0.017288,0.12487,0.30226,-0.30095,-0.07448
0.23,3.7031,-0.00087229,0.0069469,0.030737,-0.14802,-0.0061425,16.066,-0.020674,0.14554,0.31124,-0.29628,-0.080078
0.24,3.8637,-0.0010953,0.0085377,0.033858,-0.15087,-0.0069748,16.059,-0.024454,0.16754,0.31862,-0.28903,-0.085522
0.25,4.0242,-0.0013593,0.01034,0.037062,-0.15368,-0.0078585,16.052,-0.028641,0.19074,0.32455,-0.2796,-0.090794
0.26,4.1847,-0.0016687,0.012365,0.040335,-0.15643,-0.0087915,16.045,-0.033245,0.21501,0.32917,-0.26837,-0.095872
0.27,4.3451,-0.0020275,0.014623,0.043664,-0.1591,-0.0097719,16.038,-0.038279,0.24022,0.33261,-0.25573,-0.10074
0.28,4.5055,-0.0024401,0.017123,0.047038,-0.16169,-0.010798,16.03,-0.043753,0.26623,0.33503,-0.24207,-0.10537
0.29,4.6658,-0.0029106,0.019876,0.050443,-0.16416,-0.011867,16.022,-0.049679,0.29293,0.33657,-0.22777,-0.10974
0.3,4.8259,-0.0034432,0.022892,0.053866,-0.16651,-0.012977,16.013,-0.056069,0.32017,0.33736,-0.21323,-0.11384
0.31,4.986,-0.0040422,0.026182,0.057296,-0.16872,-0.014127,16.005,-0.062934,0.34783,0.33756,-0.19883,-0.11765
0.32,5.146,-0.0047117,0.029756,0.060718,-0.17077,-0.015315,15.996,-0.070286,0.37577,0.3373,-0.18496,-0.12114
0.33,5.306,-0.005456,0.033624,0.064121,-0.17264,-0.016538,15.987,-0.078136,0.40387,0.33673,-0.17201,-0.12429
0.34,5.4658,-0.0062795,0.037796,0.067493,-0.17432,-0.017794,15.977,-0.086493,0.43198,0.33598,-0.16035,-0.1271
0.35,5.6255,-0.0071896,0.042256,0.070845,-0.17588,-0.019076,15.968,-0.095312,0.45978,0.33488,-0.14995,-0.12961
0.36,5.7851,-0.0081913,0.046994,0.07418,-0.17735,-0.020382,15.958,-0.10457,0.48716,0.33337,-0.14065,-0.13189
0.37,5.9447,-0.0092883,0.052004,0.077496,-0.17874,-0.021708,15.948,-0.11425,0.51411,0.33147,-0.13241,-0.13393
0.38,6.1041,-0.010484,0.057281,0.080791,-0.18004,-0.023054,15.939,-0.12434,0.54063,0.3292,-0.12517,-0.13573
0.39,6.2634,-0.011783,0.062821,0.084062,-0.18128,-0.024417,15.929,-0.13485,0.5667,0.32657,-0.11887,-0.13732
0.4,6.4227,-0.013188,0.068618,0.087307,-0.18246,-0.025795,15.919,-0.14575,0.59231,0.32362,-0.11347,-0.13869
0.41,6.5818,-0.014704,0.074669,0.090523,-0.18358,-0.027186,15.91,-0.15704,0.61747,0.32037,-0.10889,-0.13985
0.42,6.7409,-0.016333,0.080968,0.093708,-0.18466,-0.028589,15.9,-0.16872,0.64215,0.31684,-0.10508,-0.14081
0.43,6.8998,-0.01808,0.087511,0.096858,-0.18569,-0.030002,15.89,-0.18076,0.66636,0.31305,-0.102,-0.14158
0.44,7.0587,-0.019948,0.094292,0.099972,-0.18669,-0.031422,15.88,-0.19317,0.69008,0.30902,-0.099581,-0.14217
0.45,7.2174,-0.021941,0.10131,0.10305,-0.18766,-0.032847,15.87,-0.20593,0.71331,0.30478,-0.097768,-0.14258
0.46,7.3761,-0.024062,0.10855,0.10608,-0.18861,-0.034277,15.861,-0.21903,0.73604,0.30035,-0.096506,-0.14281
0.47,7.5346,-0.026316,0.11602,0.10907,-0.18955,-0.035708,15.851,-0.23247,0.75826,0.29575,-0.095739,-0.14289
0.48,7.6931,-0.028706,0.12371,0.11201,-0.19049,-0.03714,15.841,-0.24624,0.77996,0.291,-0.095411,-0.1428
0.49,7.8515,-0.031235,0.13161,0.1149,-0.19142,-0.038569,15.831,-0.26032,0.80114,0.28613,-0.095466,-0.14257
0.5,8.0097,-0.033908,0.13973,0.11775,-0.19237,-0.039995,15.822,-0.27471,0.82178,0.28116,-0.095848,-0.1422
0.51,8.1679,-0.036728,0.14804,0.12053,-0.19333,-0.041415,15.812,-0.2894,0.8419,0.2761,-0.096476,-0.1417
0.52,8.326,-0.039699,0.15656,0.12327,-0.19429,-0.042827,15.802,-0.30438,0.86165,0.27092,-0.097089,-0.14104
0.53,8.4839,-0.042822,0.16527,0.12595,-0.19527,-0.04423,15.792,-0.31965,0.88108,0.2656,-0.097623,-0.14024
0.54,8.6418,-0.0461,0.17417,0.12858,-0.19625,-0.045624,15.783,-0.3352,0.90019,0.26014,-0.098074,-0.1393
0.55,8.7996,-0.049535,0.18327,0.13115,-0.19723,-0.047008,15.773,-0.35101,0.919,0.25456,-0.098441,-0.13823
0.56,8.9573,-0.053129,0.19255,0.13367,-0.19822,-0.048382,15.763,-0.36708,0.93751,0.24884,-0.098719,-0.13705
0.57,9.1149,-0.056884,0.20201,0.13613,-0.19921,-0.049743,15.753,-0.38339,0.95575,0.24299,-0.098906,-0.13575
0.58,9.2723,-0.060802,0.21166,0.13853,-0.2002,-0.051092,15.744,-0.39994,0.97371,0.23701,-0.098998,-0.13436
0.59,9.4297,-0.064886,0.22148,0.14087,-0.20119,-0.052428,15.734,-0.4167,0.99141,0.23091,-0.098993,-0.13288
0.6,9.587,-0.069137,0.23148,0.14314,-0.20218,-0.053749,15.724,-0.43369,1.0089,0.22469,-0.098886,-0.13132
0.61,9.7442,-0.073558,0.24166,0.14536,-0.20317,-0.055056,15.714,-0.45087,1.0261,0.21834,-0.098674,-0.1297
0.62,9.9013,-0.07815,0.25201,0.14751,-0.20415,-0.056347,15.704,-0.46824,1.0431,0.21187,-0.098356,-0.12801
0.63,10.058,-0.082917,0.26253,0.1496,-0.20513,-0.057622,15.694,-0.4858,1.0598,0.20529,-0.097927,-0.12628
0.64,10.215,-0.087859,0.27321,0.15162,-0.20611,-0.05888,15.684,-0.50353,1.0764,0.19859,-0.097384,-0.1245
0.65,10.372,-0.09298,0.28406,0.15357,-0.20707,-0.060119,15.674,-0.52141,1.0927,0.19177,-0.096723,-0.1227
0.66,10.529,-0.098281,0.29507,0.15545,-0.20804,-0.06134,15.664,-0.53945,1.1089,0.18484,-0.095943,-0.12087
0.67,10.685,-0.10376,0.30624,0.15727,-0.20899,-0.062542,15.654,-0.55763,1.1248,0.1778,-0.095039,-0.11904
0.68,10.842,-0.10943,0.31757,0.15901,-0.20994,-0.063723,15.644,-0.57593,1.1407,0.1707,-0.094021,-0.11721
0.69,10.998,-0.11528,0.32905,0.16069,-0.21087,-0.064885,15.634,-0.59434,1.1563,0.1638,-0.092953,-0.11546
0.7,11.154,-0.12132,0.34069,0.16229,-0.21179,-0.066031,15.624,-0.61284,1.1717,0.15712,-0.09185,-0.11379
0.71,11.311,-0.12755,0.35249,0.16384,-0.21271,-0.067159,15.613,-0.63143,1.1868,0.15064,-0.090713,-0.11221
0.72,11.467,-0.13396,0.36443,0.16532,-0.21361,-0.068272,15.603,-0.6501,1.2018,0.14437,-0.089547,-0.11073
0.73,11.623,-0.14055,0.37652,0.16674,-0.21449,-0.069371,15.593,-0.66884,1.2166,0.13827,-0.088355,-0.10934
0.74,11.779,-0.14734,0.38876,0.16809,-0.21537,-0.070457,15.583,-0.68764,1.2312,0.13235,-0.087141,-0.10805
0.75,11.934,-0.15431,0.40115,0.16939,-0.21624,-0.071531,15.573,-0.70651,1.2455,0.12658,-0.085909,-0.10687
0.76,12.09,-0.16147,0.41367,0.17063,-0.21709,-0.072594,15.562,-0.72542,1.2597,0.12095,-0.08466,-0.10579
0.77,12.246,-0.16882,0.42634,0.17181,-0.21793,-0.073647,15.552,-0.74437,1.2736,0.11545,-0.083401,-0.10482
0.78,12.401,-0.17636,0.43914,0.17293,-0.21876,-0.074692,15.542,-0.76335,1.2873,0.11006,-0.082132,-0.10397
0.79,12.556,-0.18408,0.45208,0.174,-0.21957,-0.075729,15.532,-0.78236,1.3009,0.10477,-0.080859,-0.10323
0.8,12.712,-0.192,0.46516,0.17502,-0.22038,-0.076759,15.522,-0.80138,1.3142,0.099571,-0.079584,-0.10261
0.81,12.867,-0.20011,0.47837,0.17599,-0.22117,-0.077784,15.511,-0.82042,1.3273,0.094443,-0.078312,-0.10212
0.82,13.022,-0.2084,0.4917,0.1769,-0.22195,-0.078805,15.501,-0.83945,1.3401,0.089375,-0.077045,-0.10176
0.83,13.177,-0.21689,0.50517,0.17776,-0.22271,-0.079822,15.491,-0.85848,1.3528,0.084352,-0.075787,-0.10153
0.84,13.332,-0.22557,0.51876,0.17858,-0.22346,-0.080837,15.481,-0.8775,1.3653,0.079362,-0.074542,-0.10144
0.85,13.486,-0.23444,0.53247,0.17935,-0.2242,-0.081852,15.47,-0.89649,1.3775,0.074503,-0.073303,-0.10149
0.86,13.641,-0.2435,0.54631,0.18008,-0.22493,-0.08287,15.46,-0.91545,1.3896,0.070136,-0.072042,-0.10172
0.87,13.796,-0.25275,0.56026,0.18077,-0.22564,-0.083892,15.45,-0.9344,1.4014,0.066269,-0.070757,-0.10214
0.88,13.95,-0.26218,0.57434,0.18142,-0.22634,-0.084919,15.44,-0.95332,1.413,0.062875,-0.069449,-0.10272
0.89,14.104,-0.27181,0.58852,0.18205,-0.22703,-0.085952,15.43,-0.97221,1.4245,0.059928,-0.068118,-0.10346
0.9,14.259,-0.28163,0.60282,0.18264,-0.2277,-0.086993,15.42,-0.99109,1.4357,0.057402,-0.066765,-0.10435
0.91,14.413,-0.29163,0.61724,0.18321,-0.22837,-0.088044,15.41,-1.0099,1.4467,0.055272,-0.06539,-0.10539
0.92,14.567,-0.30183,0.63176,0.18376,-0.22901,-0.089105,15.4,-1.0288,1.4576,0.053512,-0.063994,-0.10657
0.93,14.721,-0.31221,0.64639,0.18429,-0.22965,-0.090177,15.39,-1.0476,1.4682,0.052096,-0.062577,-0.10788
0.94,14.875,-0.32278,0.66112,0.1848,-0.23026,-0.091262,15.38,-1.0664,1.4786,0.050998,-0.061141,-0.10932
0.95,15.028,-0.33354,0.67596,0.1853,-0.23087,-0.092362,15.37,-1.0851,1.4889,0.050193,-0.059685,-0.11087
0.96,15.182,-0.34448,0.6909,0.18579,-0.23146,-0.093477,15.36,-1.1039,1.4989,0.049654,-0.058211,-0.11253
