t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.022758,-0.017658,0.0028379,0.4228,0.35543,-0.097685,0.02377,-0.034396,-0.023832,0.035807,0.028085,-0.046921,-0.012888,0.013617,-0.022043,-0.3942,0.33377,0.094378,-0.025247,0.028015,-0.029627,-0.033857,0.026787,0.044412,-0.0075969,0.0026074,-0.0058298,-0.0076574,0.0021109,0.0033334,-0.01186,0.002888,-0.002486,-0.0004524,0.00023031,0.0015057
0.01,0.023042,-0.017863,0.0029973,0.42438,0.35583,-0.097896,0.024163,-0.034686,-0.023866,0.03593,0.028113,-0.046947,-0.012691,0.013639,-0.021895,-0.39507,0.33341,0.094567,-0.025144,0.02811,-0.02952,-0.033949,0.026775,0.044375,-0.0076129,0.0026215,-0.0058441,-0.0076956,0.0021331,0.0033986,-0.011885,0.0028887,-0.0024956,-0.00045579,0.00022633,0.001504
0.02,0.023365,-0.018081,0.0031849,0.42587,0.35632,-0.097991,0.024616,-0.034997,-0.023889,0.036058,0.028146,-0.046985,-0.012464,0.013658,-0.021723,-0.39586,0.333,0.094623,-0.024977,0.028224,-0.029401,-0.034048,0.026762,0.044353,-0.007629,0.0026356,-0.0058583,-0.0077289,0.0021351,0.0034606,-0.011911,0.0028897,-0.0025055,-0.00045909,0.00022122,0.0015017
0.03,0.023726,-0.018313,0.0033999,0.42728,0.35689,-0.097963,0.025127,-0.035328,-0.023901,0.036189,0.028182,-0.047037,-0.012206,0.013672,-0.021525,-0.3966,0.33254,0.094541,-0.024747,0.028354,-0.029271,-0.034153,0.026748,0.044347,-0.0076454,0.00265,-0.0058725,-0.0077578,0.0021161,0.003519,-0.011937,0.002891,-0.0025158,-0.00046229,0.00021497,0.0014987
0.04,0.024122,-0.018558,0.0036413,0.42863,0.35748,-0.097807,0.025695,-0.03568,-0.023903,0.036322,0.028219,-0.047103,-0.011919,0.013682,-0.021303,-0.39728,0.33197,0.094316,-0.024453,0.0285,-0.029128,-0.034263,0.026727,0.044353,-0.0076619,0.0026644,-0.0058866,-0.0077828,0.0020752,0.0035734,-0.011963,0.0028927,-0.0025265,-0.00046534,0.00020759,0.0014951
0.05,0.024552,-0.018815,0.0039069,0.42993,0.3582,-0.097521,0.026314,-0.036049,-0.023895,0.036457,0.028266,-0.047183,-0.011604,0.013688,-0.021057,-0.39791,0.33141,0.093952,-0.024096,0.028661,-0.028975,-0.034375,0.026706,0.044373,-0.0076787,0.0026791,-0.0059007,-0.0078042,0.0020115,0.0036237,-0.011988,0.0028947,-0.0025377,-0.00046823,0.00019911,0.001491
0.06,0.025012,-0.019082,0.0041947,0.43119,0.359,-0.0971,0.026982,-0.036435,-0.023878,0.036593,0.028319,-0.047279,-0.011261,0.013688,-0.020789,-0.3985,0.3308,0.093449,-0.023678,0.028836,-0.028809,-0.03449,0.026682,0.044403,-0.0076958,0.0026939,-0.0059147,-0.0078223,0.0019246,0.0036696,-0.012014,0.0028971,-0.0025495,-0.00047091,0.00018958,0.0014864
0.07,0.025499,-0.019359,0.0045024,0.43243,0.3598,-0.096543,0.027694,-0.036836,-0.023851,0.036729,0.028375,-0.047391,-0.010894,0.013685,-0.020499,-0.39904,0.33008,0.092807,-0.023202,0.029024,-0.028632,-0.034604,0.026646,0.044443,-0.0077133,0.002709,-0.0059286,-0.0078375,0.0018141,0.0037109,-0.01204,0.0029001,-0.0025619,-0.00047334,0.00017903,0.0014813
0.08,0.026008,-0.019644,0.0048262,0.43364,0.36071,-0.095853,0.028441,-0.03725,-0.023817,0.036864,0.028443,-0.047519,-0.010505,0.013676,-0.020192,-0.39955,0.32936,0.092036,-0.022671,0.029222,-0.028446,-0.034718,0.026608,0.044492,-0.0077311,0.0027243,-0.0059426,-0.0078499,0.0016801,0.0037474,-0.012066,0.0029035,-0.0025749,-0.0004755,0.00016757,0.0014759
0.09,0.026535,-0.019935,0.0051626,0.43483,0.36177,-0.095032,0.029218,-0.037676,-0.023778,0.036997,0.028525,-0.047663,-0.010098,0.013665,-0.01987,-0.40003,0.32867,0.091146,-0.022091,0.029431,-0.028253,-0.034829,0.026569,0.04455,-0.0077493,0.0027398,-0.0059565,-0.0078596,0.0015229,0.0037792,-0.012092,0.0029074,-0.0025886,-0.00047733,0.00015528,0.00147
