t, affine_elevL, affine_elevR, affine_throttle
0,-0.00025059,-9.947e-05,-0.00019398
0.01,-0.0002594,-0.00010674,-0.00019402
0.02,-0.00027297,-0.00011389,-0.00019407
0.03,-0.00028836,-0.00011952,-0.00019414
0.04,-0.00030314,-0.00012257,-0.00019422
0.05,-0.00031491,-0.00012202,-0.00019429
0.06,-0.00032204,-0.00011737,-0.00019436
0.07,-0.00032372,-0.00010856,-0.00019442
0.08,-0.00031915,-9.554e-05,-0.00019444
0.09,-0.00030814,-7.859e-05,-0.00019444
0.1,-0.00029128,-5.8323e-05,-0.00019441
0.11,-0.00026925,-3.5384e-05,-0.00019434
0.12,-0.00024323,-1.0548e-05,-0.00019425
0.13,-0.00021478,1.5385e-05,-0.00019414
0.14,-0.00018551,4.1616e-05,-0.00019403
0.15,-0.00015719,6.7597e-05,-0.00019395
0.16,-0.00013152,9.3158e-05,-0.00019391
0.17,-0.00010913,0.00011949,-0.00019393
0.18,-8.7442e-05,0.00015035,-0.00019389
0.19,-6.5353e-05,0.00018589,-0.00019376
0.2,-4.2683e-05,0.00022513,-0.0001935
0.21,-2.2322e-05,0.00026349,-0.00019322
0.22,-5.5498e-06,0.00029823,-0.00019296
0.23,6.6562e-06,0.00032693,-0.00019278
0.24,1.4053e-05,0.0003483,-0.00019269
0.25,1.6947e-05,0.00036208,-0.00019271
0.26,1.5651e-05,0.00036805,-0.00019284
0.27,1.0749e-05,0.00036653,-0.00019308
0.28,3.2407e-06,0.0003592,-0.00019341
0.29,-5.8823e-06,0.00034793,-0.00019381
0.3,-1.559e-05,0.00033474,-0.00019424
0.31,-2.5047e-05,0.00032227,-0.00019468
0.32,-3.3711e-05,0.00031323,-0.00019505
0.33,-4.116e-05,0.00031029,-0.00019531
0.34,-4.7938e-05,0.00031502,-0.00019541
0.35,-5.6136e-05,0.00032057,-0.00019544
0.36,-6.6054e-05,0.00032346,-0.00019548
0.37,-7.6728e-05,0.00032531,-0.00019552
0.38,-8.7522e-05,0.00032704,-0.00019556
0.39,-9.7894e-05,0.00032945,-0.00019559
0.4,-0.00010731,0.00033334,-0.0001956
